order_details_id,order_id,order_date,order_time,item_id,payment_type
52,6770,5/23/2024,20:03:03,9,Card
53,3410,8/17/2024,14:55:33,1,Cash
54,7799,9/1/2024,12:34:01,4,Cash
55,1452,9/10/2024,18:59:26,1,Transfer
56,3905,8/29/2024,20:26:41,4,Cash
57,2426,6/2/2024,15:32:43,10,Transfer
58,1890,10/27/2024,17:06:05,4,Transfer
59,6100,9/20/2024,17:03:58,7,Card
60,5124,3/26/2024,15:31:34,9,Cash
61,6381,10/27/2024,9:58:13,2,Transfer
62,1639,11/9/2024,17:11:36,6,Transfer
63,4027,7/12/2024,14:17:24,9,Cash
64,5134,2/21/2024,16:48:49,7,Cash
65,6077,10/13/2024,11:47:55,6,Card
66,7543,10/21/2024,10:28:48,2,Card
67,3803,8/6/2024,11:35:01,9,Card
68,1248,10/19/2024,15:50:15,4,Transfer
69,9741,3/24/2024,9:31:25,4,Transfer
70,3784,12/3/2024,18:02:47,4,Cash
71,4381,12/15/2024,11:18:18,10,Transfer
72,2946,12/22/2024,8:04:35,1,Transfer
73,2769,6/8/2024,15:21:54,3,Transfer
74,2713,7/27/2024,17:35:51,3,Transfer
75,8091,1/2/2024,9:50:14,6,Cash
76,9742,4/5/2024,9:38:59,3,Cash
77,1042,12/24/2024,16:44:48,8,Transfer
78,7301,6/26/2024,8:08:23,8,Cash
79,3231,11/12/2024,12:18:37,6,Transfer
80,2669,1/21/2024,16:01:18,7,Transfer
81,7336,3/21/2024,20:28:31,5,Card
82,7422,8/7/2024,15:30:56,2,Cash
83,9031,12/27/2024,18:40:14,6,Cash
84,6122,5/12/2024,18:47:18,6,Card
85,4861,8/14/2024,13:01:18,6,Cash
86,3220,5/17/2024,16:14:11,9,Cash
87,6370,11/3/2024,17:05:26,2,Card
88,5031,4/6/2024,17:17:28,1,Cash
89,5082,3/23/2024,18:12:59,6,Cash
90,9790,1/6/2024,12:19:44,9,Card
91,9484,5/23/2024,17:16:21,4,Cash
92,9861,5/13/2024,11:48:43,1,Transfer
93,9698,8/4/2024,11:53:39,2,Cash
94,8728,2/15/2024,14:14:38,1,Transfer
95,6798,5/29/2024,20:43:02,9,Card
96,9427,1/5/2024,11:56:53,3,Card
97,3180,9/9/2024,19:58:12,9,Cash
98,7186,11/15/2024,12:07:24,5,Cash
99,4195,3/19/2024,18:26:04,9,Transfer
100,2416,12/5/2024,13:48:25,6,Card
101,5605,11/8/2024,11:02:22,5,Card
102,1362,12/5/2024,12:10:30,9,Transfer
103,6437,6/10/2024,20:18:04,10,Transfer
104,6419,7/11/2024,13:01:49,9,Cash
105,2535,11/24/2024,11:20:13,3,Cash
106,1627,9/20/2024,13:35:00,5,Transfer
107,3043,8/5/2024,8:40:21,9,Cash
108,1135,7/24/2024,11:49:57,10,Cash
109,9001,4/10/2024,11:03:08,4,Card
110,8278,1/13/2024,17:19:41,6,Transfer
111,9532,8/5/2024,12:59:28,5,Card
112,7465,1/3/2024,14:20:36,4,Transfer
113,5347,10/23/2024,8:14:52,4,Transfer
114,8280,10/2/2024,13:01:37,10,Cash
115,4690,8/3/2024,10:13:20,2,Transfer
116,5719,11/1/2024,11:21:12,2,Card
117,8118,10/30/2024,20:46:29,10,Transfer
118,2684,7/16/2024,14:12:05,7,Card
119,9152,10/24/2024,11:10:07,2,Card
120,5241,2/15/2024,15:41:16,10,Cash
121,7746,11/21/2024,12:41:05,2,Transfer
122,8339,10/31/2024,17:33:08,2,Transfer
123,4216,2/19/2024,17:20:43,1,Cash
124,1592,9/14/2024,15:51:38,4,Cash
125,3924,10/16/2024,14:40:59,10,Transfer
126,3348,12/3/2024,13:16:16,5,Transfer
127,8606,12/5/2024,8:06:59,8,Card
128,1784,10/15/2024,9:49:53,8,Transfer
129,7997,3/21/2024,9:09:22,5,Transfer
130,5992,3/20/2024,17:03:30,4,Transfer
131,2884,2/17/2024,19:08:01,3,Card
132,9734,7/22/2024,14:10:48,8,Cash
133,6904,6/5/2024,15:02:43,4,Cash
134,1167,3/22/2024,11:39:05,4,Transfer
135,4199,5/8/2024,19:52:38,7,Card
136,9468,4/24/2024,13:10:32,7,Transfer
137,7501,1/25/2024,19:30:10,3,Cash
138,3193,6/27/2024,10:50:15,3,Cash
139,5554,2/10/2024,10:03:25,5,Transfer
140,7825,7/5/2024,17:21:04,1,Card
141,4549,11/9/2024,11:06:10,6,Card
142,2613,8/27/2024,11:01:41,2,Cash
143,4284,10/18/2024,13:27:54,3,Cash
144,9414,7/20/2024,15:24:51,7,Transfer
145,9198,12/27/2024,12:59:25,1,Card
146,1623,7/31/2024,15:27:24,6,Card
147,7286,2/21/2024,10:46:59,3,Cash
148,3128,4/19/2024,19:20:41,8,Card
149,6601,8/19/2024,13:03:48,2,Card
150,8242,8/9/2024,8:20:20,10,Card
151,9062,1/30/2024,18:23:23,3,Cash
152,2517,8/6/2024,20:37:57,1,Cash
153,3642,9/27/2024,17:01:47,10,Transfer
154,2372,3/16/2024,12:02:14,8,Cash
155,3248,9/21/2024,9:16:11,9,Cash
156,8274,4/8/2024,16:09:59,4,Cash
157,4169,6/18/2024,15:26:35,2,Transfer
158,2518,1/31/2024,18:36:43,3,Transfer
159,3307,12/21/2024,14:30:12,5,Card
160,9570,10/17/2024,20:19:37,5,Transfer
161,5145,7/22/2024,16:46:16,3,Transfer
162,2537,1/9/2024,11:58:34,4,Transfer
163,4578,1/28/2024,8:10:05,4,Card
164,5542,5/12/2024,10:15:35,9,Cash
165,1674,3/17/2024,19:01:33,6,Card
166,1643,6/28/2024,12:45:43,4,Card
167,4775,1/1/2024,12:48:34,4,Transfer
168,2385,10/27/2024,13:32:27,1,Cash
169,5950,7/3/2024,12:08:19,7,Card
170,1326,8/12/2024,11:36:43,7,Cash
171,1629,2/6/2024,13:22:26,5,Transfer
172,9070,8/22/2024,9:17:07,8,Transfer
173,4407,2/24/2024,13:13:54,6,Card
174,7008,8/1/2024,8:17:27,3,Card
175,5771,4/15/2024,12:00:59,3,Card
176,7889,6/2/2024,9:54:19,3,Cash
177,1085,12/17/2024,15:10:36,7,Cash
178,7030,4/30/2024,18:19:00,4,Transfer
179,3243,6/28/2024,16:36:17,9,Cash
180,4891,3/17/2024,19:57:39,8,Card
181,1603,3/14/2024,10:50:43,1,Transfer
182,8300,9/21/2024,13:53:59,2,Card
183,2561,11/29/2024,14:25:28,1,Transfer
184,2088,6/6/2024,17:29:08,5,Transfer
185,4360,8/15/2024,13:19:35,9,Cash
186,2020,7/24/2024,13:12:55,4,Transfer
187,3529,11/30/2024,19:29:52,8,Card
188,8026,1/26/2024,20:08:13,7,Transfer
189,2402,5/21/2024,11:21:52,5,Card
190,8201,2/20/2024,16:09:44,2,Transfer
191,7045,10/23/2024,8:58:17,5,Transfer
192,5654,11/5/2024,12:43:23,4,Cash
193,3451,11/18/2024,18:57:02,9,Transfer
194,2688,12/27/2024,15:10:27,5,Card
195,9761,2/21/2024,13:01:56,1,Cash
196,3802,4/12/2024,20:28:00,4,Cash
197,5296,6/1/2024,19:20:04,9,Card
198,3145,11/8/2024,12:41:34,8,Cash
199,5373,12/5/2024,8:40:19,5,Cash
200,9391,9/3/2024,11:09:32,6,Cash
201,2819,1/17/2024,15:19:20,10,Transfer
202,1985,7/22/2024,9:35:10,10,Transfer
203,6728,5/16/2024,9:34:41,7,Cash
204,5076,11/16/2024,20:04:08,5,Transfer
205,1954,3/12/2024,20:53:24,6,Transfer
206,4240,4/13/2024,14:54:59,10,Card
207,3588,5/17/2024,17:58:26,5,Cash
208,4135,12/29/2024,8:53:54,4,Cash
209,5656,12/1/2024,20:27:32,8,Transfer
210,3445,7/20/2024,9:31:49,4,Transfer
211,1998,1/12/2024,13:37:20,6,Transfer
212,4279,3/6/2024,9:03:12,10,Card
213,3110,10/1/2024,11:59:27,10,Cash
214,7244,11/20/2024,16:06:17,2,Cash
215,4926,10/27/2024,13:49:59,6,Cash
216,6010,7/16/2024,9:38:51,7,Transfer
217,3133,5/19/2024,12:51:23,5,Transfer
218,4235,2/16/2024,9:30:25,2,Cash
219,2715,10/30/2024,10:40:20,8,Transfer
220,2396,5/23/2024,9:20:06,7,Transfer
221,5353,4/27/2024,16:22:13,1,Transfer
222,1852,1/27/2024,19:43:40,6,Cash
223,5492,12/27/2024,12:46:07,3,Card
224,1373,1/21/2024,19:35:21,6,Cash
225,7185,9/23/2024,15:00:32,4,Cash
226,7523,6/1/2024,19:38:33,9,Card
227,6184,11/17/2024,12:07:07,9,Card
228,4603,6/26/2024,20:20:35,2,Transfer
229,6384,9/13/2024,11:43:15,6,Cash
230,2973,10/21/2024,17:21:42,5,Transfer
231,7119,4/29/2024,11:10:57,10,Cash
232,6407,9/24/2024,17:11:23,6,Transfer
233,6781,3/19/2024,9:01:35,3,Transfer
234,3420,6/28/2024,20:52:53,10,Cash
235,4826,6/19/2024,9:45:57,9,Transfer
236,5823,2/21/2024,17:36:28,6,Card
237,2320,8/19/2024,11:06:29,2,Card
238,5872,6/3/2024,9:36:02,10,Card
239,4610,11/3/2024,18:36:58,9,Card
240,6200,3/2/2024,14:54:51,1,Card
241,1548,2/12/2024,10:32:36,5,Transfer
242,7600,6/14/2024,20:22:32,8,Card
243,5987,4/5/2024,20:22:08,2,Transfer
244,3572,5/12/2024,16:44:41,7,Cash
245,6518,12/3/2024,14:07:32,2,Card
246,3372,10/19/2024,9:45:26,7,Card
247,9388,5/13/2024,19:49:06,1,Transfer
248,7338,5/20/2024,12:56:51,7,Card
249,6016,4/5/2024,15:32:04,1,Card
250,1537,3/16/2024,18:22:39,1,Transfer
251,4563,3/9/2024,13:27:51,3,Transfer
252,2576,2/1/2024,12:19:18,3,Transfer
253,9091,3/26/2024,9:25:44,3,Card
254,8649,12/9/2024,15:24:41,10,Cash
255,9259,8/21/2024,13:01:21,7,Transfer
256,1385,9/10/2024,19:26:39,3,Transfer
257,2806,1/8/2024,19:04:01,8,Cash
258,5046,3/18/2024,14:35:12,10,Cash
259,8816,7/3/2024,20:14:09,4,Card
260,4337,3/12/2024,8:25:31,2,Cash
261,2061,10/18/2024,20:34:13,3,Transfer
262,2083,4/5/2024,8:48:48,2,Cash
263,8417,12/23/2024,11:22:05,9,Card
264,3176,9/17/2024,18:42:21,8,Transfer
265,8539,11/12/2024,20:25:46,3,Card
266,7317,9/29/2024,8:06:06,5,Transfer
267,9866,11/1/2024,8:14:39,6,Transfer
268,2253,6/2/2024,10:54:56,9,Cash
269,9037,6/8/2024,18:29:56,5,Transfer
270,6816,12/9/2024,11:54:37,2,Transfer
271,8402,4/12/2024,13:54:31,10,Card
272,5151,10/12/2024,11:53:08,8,Card
273,6980,5/11/2024,18:34:36,3,Card
274,6758,6/16/2024,11:14:34,8,Transfer
275,8935,12/11/2024,19:34:36,5,Transfer
276,5461,8/14/2024,10:24:43,2,Transfer
277,4477,5/24/2024,14:27:26,8,Cash
278,6674,11/12/2024,8:27:23,7,Transfer
279,4531,6/25/2024,18:44:12,1,Transfer
280,8403,12/27/2024,20:58:04,9,Card
281,9786,5/11/2024,17:48:35,6,Cash
282,4611,2/8/2024,13:20:20,6,Transfer
283,1355,4/11/2024,10:07:31,3,Cash
284,5004,1/10/2024,13:20:44,1,Transfer
285,2176,3/23/2024,9:01:47,9,Card
286,4025,2/8/2024,8:01:31,2,Card
287,4823,1/9/2024,15:57:56,6,Cash
288,8519,1/22/2024,8:18:17,7,Card
289,3483,7/27/2024,19:26:03,8,Cash
290,2018,5/26/2024,18:47:31,5,Card
291,7896,11/8/2024,14:50:10,5,Cash
292,8742,6/14/2024,13:00:07,2,Cash
293,9415,1/26/2024,9:16:00,2,Transfer
294,7601,5/27/2024,9:53:02,10,Transfer
295,4976,6/24/2024,20:30:15,6,Transfer
296,7413,8/11/2024,11:44:48,9,Transfer
297,7753,9/9/2024,17:34:06,4,Card
298,5623,7/24/2024,17:49:13,10,Transfer
299,1601,6/7/2024,11:23:37,8,Cash
300,6084,7/16/2024,8:58:53,3,Card
301,6533,7/4/2024,16:54:08,1,Card
302,5740,11/29/2024,11:44:53,8,Card
303,1970,7/14/2024,9:38:45,7,Transfer
304,8214,7/18/2024,15:10:21,9,Cash
305,1844,9/10/2024,12:38:00,8,Cash
306,3341,4/25/2024,20:10:22,7,Cash
307,8136,12/30/2024,17:24:35,9,Cash
308,1532,12/23/2024,10:22:30,8,Cash
309,8792,8/28/2024,19:29:17,1,Cash
310,8495,11/30/2024,12:48:07,10,Card
311,6111,10/19/2024,18:35:57,10,Card
312,8590,5/1/2024,12:11:44,7,Transfer
313,1168,2/25/2024,14:06:13,9,Transfer
314,7231,8/5/2024,18:16:55,8,Transfer
315,5888,11/7/2024,15:46:26,8,Cash
316,6062,10/2/2024,8:23:14,6,Cash
317,2598,2/8/2024,11:24:34,1,Transfer
318,8652,1/7/2024,15:37:23,10,Cash
319,5196,12/30/2024,19:57:17,5,Transfer
320,9843,9/7/2024,10:38:36,5,Card
321,9010,5/30/2024,16:06:04,2,Card
322,5408,9/27/2024,11:19:33,3,Card
323,6052,4/15/2024,19:21:41,5,Card
324,4997,11/30/2024,11:25:52,9,Card
325,9970,10/28/2024,18:19:20,2,Cash
326,1045,12/7/2024,10:09:21,8,Card
327,5272,10/31/2024,19:23:48,3,Cash
328,3700,5/30/2024,18:16:48,8,Cash
329,3693,9/25/2024,13:28:01,8,Transfer
330,6471,8/27/2024,16:11:42,5,Transfer
331,2976,2/13/2024,19:12:19,9,Card
332,5614,2/15/2024,12:01:52,10,Card
333,7850,5/18/2024,20:32:04,8,Cash
334,5339,7/29/2024,11:13:38,9,Transfer
335,6075,6/4/2024,8:14:54,3,Transfer
336,1756,9/18/2024,17:16:28,6,Cash
337,9629,1/16/2024,13:13:21,3,Cash
338,2841,11/4/2024,12:43:19,8,Transfer
339,8901,3/26/2024,10:08:20,10,Card
340,5489,9/30/2024,12:25:51,7,Cash
341,4148,10/24/2024,8:18:58,7,Card
342,8005,10/6/2024,10:06:55,7,Cash
343,9106,2/10/2024,13:48:43,4,Card
344,4636,3/23/2024,15:06:50,6,Card
345,6606,3/13/2024,13:04:25,8,Transfer
346,3454,5/5/2024,13:43:48,5,Transfer
347,7616,2/16/2024,11:53:16,2,Card
348,6906,4/17/2024,18:48:52,9,Cash
349,1836,2/2/2024,12:18:32,2,Card
350,4577,11/26/2024,10:25:23,5,Transfer
351,5558,11/1/2024,12:57:30,10,Transfer
352,9178,9/15/2024,10:03:05,3,Transfer
353,7071,7/16/2024,20:01:28,6,Card
354,9249,11/28/2024,13:25:57,6,Transfer
355,5766,10/23/2024,17:36:57,4,Transfer
356,7018,8/21/2024,15:17:25,3,Cash
357,2902,9/5/2024,18:58:59,9,Cash
358,9301,5/16/2024,9:21:56,1,Transfer
359,6263,2/27/2024,20:00:53,1,Card
360,4739,5/7/2024,10:31:35,9,Transfer
361,7060,6/4/2024,15:30:19,2,Cash
362,3091,2/2/2024,12:05:27,1,Card
363,2413,1/1/2024,10:14:07,10,Card
364,8794,8/19/2024,16:43:33,1,Transfer
365,9627,2/13/2024,17:31:39,8,Cash
366,5717,6/4/2024,20:49:44,6,Card
367,1508,10/17/2024,12:32:06,10,Cash
368,8856,6/12/2024,11:56:11,7,Cash
369,9377,10/30/2024,17:54:48,7,Cash
370,8802,3/29/2024,9:27:55,5,Cash
371,3771,1/26/2024,11:48:34,4,Transfer
372,5615,10/18/2024,11:58:36,3,Cash
373,8811,8/9/2024,9:24:55,3,Card
374,9407,3/1/2024,8:26:37,6,Transfer
375,4377,9/29/2024,16:01:21,9,Cash
376,9181,9/22/2024,18:04:06,9,Card
377,8052,2/21/2024,13:38:21,4,Cash
378,6310,11/8/2024,18:13:08,9,Card
379,6023,8/18/2024,15:14:40,5,Cash
380,3918,10/1/2024,15:40:18,3,Card
381,4754,3/19/2024,17:18:16,3,Card
382,5142,1/24/2024,15:37:01,1,Transfer
383,4937,4/16/2024,13:19:30,5,Card
384,7044,12/5/2024,17:13:06,4,Cash
385,1738,11/19/2024,16:18:03,1,Cash
386,2758,8/23/2024,18:34:06,3,Card
387,3708,10/20/2024,17:05:05,3,Transfer
388,9026,3/1/2024,10:22:35,7,Card
389,2204,10/14/2024,14:45:55,6,Cash
390,7054,11/4/2024,12:32:56,3,Cash
391,2319,4/8/2024,19:20:44,9,Cash
392,3948,7/28/2024,14:11:11,9,Cash
393,7538,11/18/2024,12:51:55,8,Card
394,6317,3/15/2024,12:36:48,8,Transfer
395,7434,12/5/2024,9:15:01,7,Transfer
396,5557,3/18/2024,16:32:11,10,Transfer
397,9754,9/14/2024,15:26:11,10,Cash
398,5524,10/18/2024,9:39:29,7,Transfer
399,9583,4/19/2024,13:14:44,6,Card
400,2710,9/22/2024,9:12:22,10,Transfer
401,3786,2/6/2024,14:01:49,2,Card
402,3462,4/6/2024,8:11:44,2,Cash
403,6412,2/7/2024,13:42:39,6,Card
404,5222,2/28/2024,16:35:21,1,Cash
405,4189,6/5/2024,17:43:26,7,Cash
406,5546,8/15/2024,11:20:46,6,Cash
407,7337,11/24/2024,11:14:48,1,Card
408,3071,5/25/2024,20:25:37,3,Card
409,9441,10/11/2024,9:28:19,10,Card
410,8452,2/15/2024,11:34:22,2,Card
411,7001,9/16/2024,18:06:23,5,Cash
412,3639,3/15/2024,12:18:46,6,Transfer
413,3411,11/20/2024,9:14:24,10,Transfer
414,3342,9/17/2024,13:17:49,10,Cash
415,6824,3/8/2024,20:57:33,3,Transfer
416,3185,6/1/2024,12:03:40,2,Cash
417,6193,7/1/2024,9:01:08,3,Transfer
418,7503,9/23/2024,19:51:10,4,Cash
419,5349,11/18/2024,15:57:37,8,Transfer
420,3854,1/24/2024,18:00:33,10,Transfer
421,1100,5/1/2024,17:50:06,4,Cash
422,8129,3/14/2024,16:11:41,3,Card
423,7006,3/10/2024,19:55:51,8,Card
424,4920,6/21/2024,19:07:22,7,Transfer
425,3979,4/5/2024,17:26:04,9,Card
426,7906,10/19/2024,17:30:48,10,Cash
427,7566,1/18/2024,9:00:40,9,Cash
428,3280,3/21/2024,19:38:55,8,Cash
429,8758,5/11/2024,10:32:49,8,Card
430,9233,3/1/2024,16:54:01,6,Card
431,1298,1/8/2024,19:21:10,10,Transfer
432,3875,3/28/2024,20:19:33,3,Card
433,8680,3/30/2024,8:11:52,3,Card
434,2420,3/16/2024,8:17:13,3,Transfer
435,4888,10/23/2024,11:07:01,9,Card
436,8062,1/5/2024,11:25:20,1,Cash
437,5541,5/27/2024,16:07:12,7,Transfer
438,9925,2/6/2024,17:32:33,3,Cash
439,1821,3/14/2024,8:17:10,9,Cash
440,6197,4/27/2024,17:40:14,8,Card
441,4510,2/26/2024,10:08:48,2,Card
442,4661,4/26/2024,20:23:56,6,Transfer
443,7873,12/12/2024,17:14:28,10,Cash
444,4901,11/16/2024,11:18:39,4,Cash
445,9406,5/6/2024,15:17:23,7,Transfer
446,2924,9/3/2024,18:27:48,4,Cash
447,7284,10/20/2024,10:30:41,6,Cash
448,2743,11/12/2024,15:19:33,1,Card
449,8736,3/3/2024,10:23:56,8,Transfer
450,2823,2/14/2024,16:47:21,9,Cash
451,7428,9/2/2024,13:15:33,5,Cash
452,9834,4/15/2024,12:52:34,9,Cash
453,8749,11/30/2024,9:58:23,5,Cash
454,5904,7/9/2024,9:55:09,2,Cash
455,5512,1/23/2024,18:58:13,2,Card
456,8329,3/8/2024,20:06:00,2,Card
457,2749,11/21/2024,12:15:42,2,Card
458,8763,1/1/2024,16:27:12,3,Card
459,2306,12/16/2024,9:06:07,6,Transfer
460,5155,4/30/2024,9:29:25,3,Cash
461,3903,8/29/2024,8:59:04,2,Card
462,7257,5/16/2024,19:57:57,8,Transfer
463,3449,8/18/2024,20:35:14,9,Card
464,5540,12/30/2024,14:41:08,4,Cash
465,9836,8/14/2024,20:08:29,6,Card
466,5683,6/24/2024,18:33:52,5,Transfer
467,3666,2/2/2024,12:04:40,2,Cash
468,3273,4/12/2024,17:46:47,7,Cash
469,9337,10/14/2024,8:26:02,5,Transfer
470,6496,10/19/2024,17:41:53,1,Cash
471,3227,9/10/2024,11:38:34,10,Cash
472,1311,6/3/2024,14:33:44,4,Transfer
473,4764,10/15/2024,14:25:57,1,Transfer
474,8686,11/6/2024,12:14:28,4,Transfer
475,7219,11/21/2024,20:12:27,5,Card
476,8260,11/29/2024,11:35:43,3,Transfer
477,7910,8/9/2024,9:39:44,3,Cash
478,2726,7/3/2024,11:33:22,5,Transfer
479,3569,4/2/2024,8:11:02,1,Cash
480,1239,4/15/2024,16:13:05,1,Cash
481,5081,1/28/2024,20:54:52,1,Transfer
482,4435,11/3/2024,10:26:23,4,Card
483,6148,12/26/2024,18:20:56,4,Card
484,7664,1/22/2024,18:46:58,7,Cash
485,5111,11/6/2024,14:37:23,1,Transfer
486,6044,3/23/2024,17:42:27,9,Card
487,1325,3/8/2024,10:24:36,4,Cash
488,3755,11/17/2024,15:18:29,10,Card
489,7740,11/14/2024,14:36:14,8,Cash
490,7767,7/21/2024,14:17:38,2,Card
491,7711,11/22/2024,10:24:02,5,Card
492,4909,6/17/2024,15:34:11,1,Transfer
493,3018,5/2/2024,16:21:45,2,Transfer
494,5651,9/23/2024,14:56:07,4,Card
495,7900,5/19/2024,8:15:09,10,Cash
496,1857,9/16/2024,10:59:42,9,Card
497,8438,2/27/2024,17:01:12,4,Transfer
498,9029,12/25/2024,20:37:17,6,Cash
499,4447,11/2/2024,14:46:53,6,Card
500,3629,2/16/2024,9:01:54,1,Cash
501,4201,2/21/2024,12:55:07,4,Card
502,3640,8/29/2024,16:57:40,8,Transfer
503,6784,1/5/2024,20:43:21,1,Transfer
504,9533,7/3/2024,8:49:21,8,Card
505,2174,5/23/2024,10:46:08,1,Transfer
506,7199,1/15/2024,8:11:27,8,Cash
507,7702,12/3/2024,19:19:55,4,Cash
508,9666,4/8/2024,13:19:44,5,Cash
509,6325,9/12/2024,15:51:04,10,Card
510,4328,7/11/2024,8:26:30,5,Card
511,2650,2/26/2024,19:37:18,8,Cash
512,4749,4/21/2024,15:38:49,1,Transfer
513,2167,8/24/2024,9:22:38,3,Transfer
514,9975,9/25/2024,12:59:33,3,Transfer
515,9334,6/28/2024,9:03:07,3,Cash
516,5247,6/10/2024,15:14:28,4,Transfer
517,1275,10/3/2024,12:10:03,8,Card
518,9618,6/23/2024,13:59:06,4,Cash
519,7610,8/9/2024,20:54:08,4,Cash
520,1582,7/28/2024,16:56:10,8,Transfer
521,9995,11/15/2024,9:51:35,6,Transfer
522,5238,5/9/2024,14:38:29,2,Card
523,5234,8/28/2024,8:00:11,1,Transfer
524,6631,4/14/2024,11:01:05,3,Transfer
525,1811,10/17/2024,20:53:02,10,Card
526,5024,10/1/2024,20:17:36,5,Transfer
527,7533,1/12/2024,15:25:35,1,Transfer
528,6186,8/2/2024,13:08:23,6,Cash
529,1714,4/28/2024,18:38:20,10,Transfer
530,1232,1/20/2024,20:52:15,6,Card
531,4857,4/3/2024,17:41:24,7,Cash
532,7687,4/17/2024,13:48:19,9,Transfer
533,7851,6/3/2024,15:58:54,5,Card
534,7368,8/16/2024,12:16:16,7,Cash
535,8842,4/19/2024,16:36:16,4,Card
536,1251,12/3/2024,15:21:53,8,Card
537,7582,4/30/2024,8:47:46,1,Cash
538,8486,4/13/2024,8:33:44,5,Cash
539,1475,12/20/2024,13:29:03,2,Card
540,5910,12/3/2024,16:06:22,5,Card
541,7690,4/5/2024,15:12:07,5,Transfer
542,6368,1/15/2024,15:34:43,7,Transfer
543,6123,9/25/2024,9:57:34,1,Cash
544,7352,8/22/2024,10:33:33,8,Card
545,2202,2/19/2024,19:36:24,7,Card
546,3887,9/27/2024,8:20:49,6,Transfer
547,7459,12/29/2024,8:45:14,4,Card
548,6507,1/12/2024,15:35:53,10,Cash
549,1034,5/6/2024,17:55:59,5,Card
550,2252,5/23/2024,17:47:16,9,Card
551,7074,12/17/2024,20:20:27,8,Card
552,8671,8/29/2024,9:54:11,2,Transfer
553,6531,11/28/2024,16:36:42,1,Transfer
554,2042,3/3/2024,19:06:22,10,Card
555,1766,11/23/2024,20:00:45,9,Cash
556,7597,7/25/2024,14:53:03,7,Cash
557,7227,2/21/2024,8:56:56,8,Cash
558,4931,2/25/2024,18:08:42,6,Cash
559,1186,8/16/2024,11:39:15,8,Card
560,9028,9/10/2024,12:02:37,2,Card
561,9962,10/16/2024,15:49:58,7,Cash
562,1827,2/13/2024,14:07:26,5,Cash
563,5393,6/29/2024,8:16:30,10,Card
564,7879,6/22/2024,9:33:56,9,Card
565,6390,12/25/2024,16:27:05,7,Cash
566,1877,6/7/2024,17:22:00,8,Card
567,9938,1/19/2024,13:27:35,6,Card
568,9636,10/28/2024,19:51:40,6,Card
569,3478,12/10/2024,15:45:41,9,Cash
570,3033,10/4/2024,13:42:53,9,Card
571,5453,3/2/2024,13:08:40,6,Cash
572,9671,3/8/2024,12:48:49,4,Cash
573,9609,3/29/2024,14:17:22,2,Card
574,4331,5/31/2024,10:09:00,2,Transfer
575,5317,9/17/2024,12:21:48,4,Card
576,6070,9/12/2024,8:18:11,1,Cash
577,2685,5/22/2024,12:23:21,4,Transfer
578,6406,7/5/2024,19:25:33,9,Card
579,4140,3/20/2024,10:12:00,4,Cash
580,3741,7/10/2024,15:48:28,5,Transfer
